Files already downloaded and verified
Files already downloaded and verified
[LUNCH] T0, ER+vit, normal => test T0 = 97.60%
[LUNCH] T14, ER+vit, normal => test T10 = 10.40%
[LUNCH] T14, ER+vit, normal => test T11 = 45.00%
[LUNCH] T14, ER+vit, normal => test T12 = 31.80%
[LUNCH] T14, ER+vit, normal => test T13 = 79.20%
[LUNCH] T14, ER+vit, normal => test T14 = 95.00%
[LUNCH] T15, ER+vit, normal => test T0 = 33.00%
[LUNCH] T15, ER+vit, normal => test T1 = 32.40%
[LUNCH] T15, ER+vit, normal => test T2 = 43.60%
[LUNCH] T15, ER+vit, normal => test T3 = 37.80%
[LUNCH] T15, ER+vit, normal => test T4 = 36.60%
[LUNCH] T15, ER+vit, normal => test T5 = 42.00%
[LUNCH] T15, ER+vit, normal => test T6 = 36.80%
[LUNCH] T15, ER+vit, normal => test T7 = 11.20%
[LUNCH] T15, ER+vit, normal => test T8 = 38.40%
[LUNCH] T15, ER+vit, normal => test T9 = 38.80%
[LUNCH] T15, ER+vit, normal => test T10 = 16.00%
[LUNCH] T15, ER+vit, normal => test T11 = 43.60%
[LUNCH] T15, ER+vit, normal => test T12 = 34.00%
[LUNCH] T15, ER+vit, normal => test T13 = 41.00%
[LUNCH] T15, ER+vit, normal => test T14 = 90.40%
[LUNCH] T15, ER+vit, normal => test T15 = 98.20%
[LUNCH] T16, ER+vit, normal => test T0 = 3.60%
[LUNCH] T16, ER+vit, normal => test T1 = 22.20%
[LUNCH] T16, ER+vit, normal => test T2 = 18.60%
[LUNCH] T16, ER+vit, normal => test T3 = 46.80%
[LUNCH] T16, ER+vit, normal => test T4 = 28.20%
[LUNCH] T16, ER+vit, normal => test T5 = 17.80%
[LUNCH] T16, ER+vit, normal => test T6 = 24.20%
[LUNCH] T16, ER+vit, normal => test T7 = 13.80%
[LUNCH] T16, ER+vit, normal => test T8 = 29.80%
[LUNCH] T16, ER+vit, normal => test T9 = 34.60%
[LUNCH] T16, ER+vit, normal => test T10 = 46.20%
[LUNCH] T16, ER+vit, normal => test T11 = 38.40%
[LUNCH] T16, ER+vit, normal => test T12 = 17.60%
[LUNCH] T16, ER+vit, normal => test T13 = 43.20%
[LUNCH] T16, ER+vit, normal => test T14 = 34.60%
[LUNCH] T16, ER+vit, normal => test T15 = 95.00%
[LUNCH] T16, ER+vit, normal => test T16 = 98.40%
[LUNCH] T17, ER+vit, normal => test T0 = 8.60%
[LUNCH] T17, ER+vit, normal => test T1 = 16.60%
[LUNCH] T17, ER+vit, normal => test T2 = 26.00%
[LUNCH] T17, ER+vit, normal => test T3 = 49.00%
[LUNCH] T17, ER+vit, normal => test T4 = 26.80%
[LUNCH] T17, ER+vit, normal => test T5 = 15.40%
[LUNCH] T17, ER+vit, normal => test T6 = 24.80%
[LUNCH] T17, ER+vit, normal => test T7 = 10.60%
[LUNCH] T17, ER+vit, normal => test T8 = 35.20%
[LUNCH] T17, ER+vit, normal => test T9 = 33.00%
[LUNCH] T17, ER+vit, normal => test T10 = 44.20%
[LUNCH] T17, ER+vit, normal => test T11 = 28.80%
[LUNCH] T17, ER+vit, normal => test T12 = 38.60%
[LUNCH] T17, ER+vit, normal => test T13 = 36.20%
[LUNCH] T17, ER+vit, normal => test T14 = 29.60%
[LUNCH] T17, ER+vit, normal => test T15 = 82.20%
[LUNCH] T17, ER+vit, normal => test T16 = 91.80%
[LUNCH] T17, ER+vit, normal => test T17 = 97.20%
[LUNCH] T18, ER+vit, normal => test T0 = 33.80%
[LUNCH] T18, ER+vit, normal => test T1 = 24.20%
[LUNCH] T18, ER+vit, normal => test T2 = 15.20%
[LUNCH] T18, ER+vit, normal => test T3 = 27.40%
[LUNCH] T18, ER+vit, normal => test T4 = 18.60%
[LUNCH] T18, ER+vit, normal => test T5 = 20.20%
[LUNCH] T18, ER+vit, normal => test T6 = 9.40%
[LUNCH] T18, ER+vit, normal => test T7 = 26.80%
[LUNCH] T18, ER+vit, normal => test T8 = 32.40%
[LUNCH] T18, ER+vit, normal => test T9 = 29.20%
[LUNCH] T18, ER+vit, normal => test T10 = 12.60%
[LUNCH] T18, ER+vit, normal => test T11 = 26.00%
[LUNCH] T18, ER+vit, normal => test T12 = 67.40%
[LUNCH] T18, ER+vit, normal => test T13 = 22.20%
[LUNCH] T18, ER+vit, normal => test T14 = 22.40%
[LUNCH] T18, ER+vit, normal => test T15 = 57.40%
[LUNCH] T18, ER+vit, normal => test T16 = 46.20%
[LUNCH] T18, ER+vit, normal => test T17 = 88.80%
[LUNCH] T18, ER+vit, normal => test T18 = 98.00%
[LUNCH] T19, ER+vit, normal => test T0 = 11.80%
[LUNCH] T19, ER+vit, normal => test T1 = 23.20%
[LUNCH] T19, ER+vit, normal => test T2 = 7.80%
[LUNCH] T19, ER+vit, normal => test T3 = 8.40%
[LUNCH] T19, ER+vit, normal => test T4 = 18.40%
[LUNCH] T19, ER+vit, normal => test T5 = 24.40%
[LUNCH] T19, ER+vit, normal => test T6 = 27.80%
[LUNCH] T19, ER+vit, normal => test T7 = 15.60%
[LUNCH] T19, ER+vit, normal => test T8 = 39.60%
[LUNCH] T19, ER+vit, normal => test T9 = 4.00%
[LUNCH] T19, ER+vit, normal => test T10 = 13.20%
[LUNCH] T19, ER+vit, normal => test T11 = 37.00%
[LUNCH] T19, ER+vit, normal => test T12 = 32.80%
[LUNCH] T19, ER+vit, normal => test T13 = 14.80%
[LUNCH] T19, ER+vit, normal => test T14 = 22.20%
[LUNCH] T19, ER+vit, normal => test T15 = 50.20%
[LUNCH] T19, ER+vit, normal => test T16 = 40.40%
[LUNCH] T19, ER+vit, normal => test T17 = 49.80%
[LUNCH] T19, ER+vit, normal => test T18 = 93.60%
[LUNCH] T19, ER+vit, normal => test T19 = 99.00%

[LUNCH final (normal)] model=vit, ds=cifar100, method=ER
FAA=31.70%, AAA=57.31%, WCA=27.40%
