Files already downloaded and verified
Files already downloaded and verified
[No-Lunch] T0, test T0, model=vit, method=RAR, ACC=97.60%
[No-Lunch] T12, test T3, model=vit, method=RAR, ACC=38.60%
[No-Lunch] T12, test T4, model=vit, method=RAR, ACC=8.40%
[No-Lunch] T12, test T5, model=vit, method=RAR, ACC=32.00%
[No-Lunch] T12, test T6, model=vit, method=RAR, ACC=39.40%
[No-Lunch] T12, test T7, model=vit, method=RAR, ACC=16.60%
[No-Lunch] T12, test T8, model=vit, method=RAR, ACC=39.00%
[No-Lunch] T12, test T9, model=vit, method=RAR, ACC=43.20%
[No-Lunch] T12, test T10, model=vit, method=RAR, ACC=10.40%
[No-Lunch] T12, test T11, model=vit, method=RAR, ACC=69.40%
[No-Lunch] T12, test T12, model=vit, method=RAR, ACC=97.80%
[No-Lunch] T13, test T0, model=vit, method=RAR, ACC=4.20%
[No-Lunch] T13, test T1, model=vit, method=RAR, ACC=38.40%
[No-Lunch] T13, test T2, model=vit, method=RAR, ACC=35.40%
[No-Lunch] T13, test T3, model=vit, method=RAR, ACC=29.00%
[No-Lunch] T13, test T4, model=vit, method=RAR, ACC=30.20%
[No-Lunch] T13, test T5, model=vit, method=RAR, ACC=30.80%
[No-Lunch] T13, test T6, model=vit, method=RAR, ACC=44.20%
[No-Lunch] T13, test T7, model=vit, method=RAR, ACC=3.60%
[No-Lunch] T13, test T8, model=vit, method=RAR, ACC=22.00%
[No-Lunch] T13, test T9, model=vit, method=RAR, ACC=39.60%
[No-Lunch] T13, test T10, model=vit, method=RAR, ACC=24.80%
[No-Lunch] T13, test T11, model=vit, method=RAR, ACC=70.40%
[No-Lunch] T13, test T12, model=vit, method=RAR, ACC=60.60%
[No-Lunch] T13, test T13, model=vit, method=RAR, ACC=97.40%
[No-Lunch] T14, test T0, model=vit, method=RAR, ACC=31.60%
[No-Lunch] T14, test T1, model=vit, method=RAR, ACC=24.20%
[No-Lunch] T14, test T2, model=vit, method=RAR, ACC=42.40%
[No-Lunch] T14, test T3, model=vit, method=RAR, ACC=17.40%
[No-Lunch] T14, test T4, model=vit, method=RAR, ACC=32.20%
[No-Lunch] T14, test T5, model=vit, method=RAR, ACC=37.40%
[No-Lunch] T14, test T6, model=vit, method=RAR, ACC=32.40%
[No-Lunch] T14, test T7, model=vit, method=RAR, ACC=16.00%
[No-Lunch] T14, test T8, model=vit, method=RAR, ACC=28.60%
[No-Lunch] T14, test T9, model=vit, method=RAR, ACC=30.00%
[No-Lunch] T14, test T10, model=vit, method=RAR, ACC=6.00%
[No-Lunch] T14, test T11, model=vit, method=RAR, ACC=42.20%
[No-Lunch] T14, test T12, model=vit, method=RAR, ACC=25.60%
[No-Lunch] T14, test T13, model=vit, method=RAR, ACC=57.80%
[No-Lunch] T14, test T14, model=vit, method=RAR, ACC=95.60%
[No-Lunch] T15, test T0, model=vit, method=RAR, ACC=13.20%
[No-Lunch] T15, test T1, model=vit, method=RAR, ACC=29.80%
[No-Lunch] T15, test T2, model=vit, method=RAR, ACC=31.00%
[No-Lunch] T15, test T3, model=vit, method=RAR, ACC=21.20%
[No-Lunch] T15, test T4, model=vit, method=RAR, ACC=30.60%
[No-Lunch] T15, test T5, model=vit, method=RAR, ACC=39.60%
[No-Lunch] T15, test T6, model=vit, method=RAR, ACC=32.40%
[No-Lunch] T15, test T7, model=vit, method=RAR, ACC=6.20%
[No-Lunch] T15, test T8, model=vit, method=RAR, ACC=23.40%
[No-Lunch] T15, test T9, model=vit, method=RAR, ACC=30.00%
[No-Lunch] T15, test T10, model=vit, method=RAR, ACC=21.40%
[No-Lunch] T15, test T11, model=vit, method=RAR, ACC=54.20%
[No-Lunch] T15, test T12, model=vit, method=RAR, ACC=26.40%
[No-Lunch] T15, test T13, model=vit, method=RAR, ACC=33.60%
[No-Lunch] T15, test T14, model=vit, method=RAR, ACC=72.00%
[No-Lunch] T15, test T15, model=vit, method=RAR, ACC=98.60%
[No-Lunch] T16, test T0, model=vit, method=RAR, ACC=1.00%
[No-Lunch] T16, test T1, model=vit, method=RAR, ACC=17.20%
[No-Lunch] T16, test T2, model=vit, method=RAR, ACC=11.00%
[No-Lunch] T16, test T3, model=vit, method=RAR, ACC=39.20%
[No-Lunch] T16, test T4, model=vit, method=RAR, ACC=20.20%
[No-Lunch] T16, test T5, model=vit, method=RAR, ACC=18.00%
[No-Lunch] T16, test T6, model=vit, method=RAR, ACC=17.40%
[No-Lunch] T16, test T7, model=vit, method=RAR, ACC=19.60%
[No-Lunch] T16, test T8, model=vit, method=RAR, ACC=15.40%
[No-Lunch] T16, test T9, model=vit, method=RAR, ACC=38.60%
[No-Lunch] T16, test T10, model=vit, method=RAR, ACC=45.80%
[No-Lunch] T16, test T11, model=vit, method=RAR, ACC=36.40%
[No-Lunch] T16, test T12, model=vit, method=RAR, ACC=21.60%
[No-Lunch] T16, test T13, model=vit, method=RAR, ACC=35.20%
[No-Lunch] T16, test T14, model=vit, method=RAR, ACC=30.20%
[No-Lunch] T16, test T15, model=vit, method=RAR, ACC=84.20%
[No-Lunch] T16, test T16, model=vit, method=RAR, ACC=98.80%
[No-Lunch] T17, test T0, model=vit, method=RAR, ACC=16.80%
[No-Lunch] T17, test T1, model=vit, method=RAR, ACC=12.00%
[No-Lunch] T17, test T2, model=vit, method=RAR, ACC=19.40%
[No-Lunch] T17, test T3, model=vit, method=RAR, ACC=45.00%
[No-Lunch] T17, test T4, model=vit, method=RAR, ACC=30.60%
[No-Lunch] T17, test T5, model=vit, method=RAR, ACC=13.80%
[No-Lunch] T17, test T6, model=vit, method=RAR, ACC=23.20%
[No-Lunch] T17, test T7, model=vit, method=RAR, ACC=21.20%
[No-Lunch] T17, test T8, model=vit, method=RAR, ACC=35.00%
[No-Lunch] T17, test T9, model=vit, method=RAR, ACC=22.40%
[No-Lunch] T17, test T10, model=vit, method=RAR, ACC=31.00%
[No-Lunch] T17, test T11, model=vit, method=RAR, ACC=22.00%
[No-Lunch] T17, test T12, model=vit, method=RAR, ACC=44.60%
[No-Lunch] T17, test T13, model=vit, method=RAR, ACC=27.20%
[No-Lunch] T17, test T14, model=vit, method=RAR, ACC=25.40%
[No-Lunch] T17, test T15, model=vit, method=RAR, ACC=78.60%
[No-Lunch] T17, test T16, model=vit, method=RAR, ACC=78.20%
[No-Lunch] T17, test T17, model=vit, method=RAR, ACC=97.40%
[No-Lunch] T18, test T0, model=vit, method=RAR, ACC=31.80%
[No-Lunch] T18, test T1, model=vit, method=RAR, ACC=21.60%
[No-Lunch] T18, test T2, model=vit, method=RAR, ACC=14.20%
[No-Lunch] T18, test T3, model=vit, method=RAR, ACC=21.20%
[No-Lunch] T18, test T4, model=vit, method=RAR, ACC=16.20%
[No-Lunch] T18, test T5, model=vit, method=RAR, ACC=7.80%
[No-Lunch] T18, test T6, model=vit, method=RAR, ACC=10.60%
[No-Lunch] T18, test T7, model=vit, method=RAR, ACC=32.20%
[No-Lunch] T18, test T8, model=vit, method=RAR, ACC=29.80%
[No-Lunch] T18, test T9, model=vit, method=RAR, ACC=33.00%
[No-Lunch] T18, test T10, model=vit, method=RAR, ACC=12.40%
[No-Lunch] T18, test T11, model=vit, method=RAR, ACC=27.40%
[No-Lunch] T18, test T12, model=vit, method=RAR, ACC=65.20%
[No-Lunch] T18, test T13, model=vit, method=RAR, ACC=20.60%
[No-Lunch] T18, test T14, model=vit, method=RAR, ACC=20.60%
[No-Lunch] T18, test T15, model=vit, method=RAR, ACC=47.00%
[No-Lunch] T18, test T16, model=vit, method=RAR, ACC=43.80%
[No-Lunch] T18, test T17, model=vit, method=RAR, ACC=73.80%
[No-Lunch] T18, test T18, model=vit, method=RAR, ACC=99.20%
[No-Lunch] T19, test T0, model=vit, method=RAR, ACC=9.00%
[No-Lunch] T19, test T1, model=vit, method=RAR, ACC=14.00%
[No-Lunch] T19, test T2, model=vit, method=RAR, ACC=6.80%
[No-Lunch] T19, test T3, model=vit, method=RAR, ACC=8.60%
[No-Lunch] T19, test T4, model=vit, method=RAR, ACC=15.80%
[No-Lunch] T19, test T5, model=vit, method=RAR, ACC=21.40%
[No-Lunch] T19, test T6, model=vit, method=RAR, ACC=25.00%
[No-Lunch] T19, test T7, model=vit, method=RAR, ACC=14.80%
[No-Lunch] T19, test T8, model=vit, method=RAR, ACC=43.40%
[No-Lunch] T19, test T9, model=vit, method=RAR, ACC=8.20%
[No-Lunch] T19, test T10, model=vit, method=RAR, ACC=23.40%
[No-Lunch] T19, test T11, model=vit, method=RAR, ACC=35.60%
[No-Lunch] T19, test T12, model=vit, method=RAR, ACC=21.20%
[No-Lunch] T19, test T13, model=vit, method=RAR, ACC=10.20%
[No-Lunch] T19, test T14, model=vit, method=RAR, ACC=23.00%
[No-Lunch] T19, test T15, model=vit, method=RAR, ACC=43.80%
[No-Lunch] T19, test T16, model=vit, method=RAR, ACC=39.20%
[No-Lunch] T19, test T17, model=vit, method=RAR, ACC=36.00%
[No-Lunch] T19, test T18, model=vit, method=RAR, ACC=78.20%
[No-Lunch] T19, test T19, model=vit, method=RAR, ACC=98.80%

[No-Lunch final] model=vit, dataset=cifar100, method=RAR
FAA=28.82%, AAA=49.42%, WCA=22.91%
